z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.7100000000e+00        0.022445000000000007        0.67        0.14393529600000002        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3 
7.0411724664e-06 4.8839717863e+01
7.5265597843e-06 5.2067446711e+01
8.0454074123e-06 5.5508487989e+01
8.6000218289e-06 5.9176936131e+01
9.1928695838e-06 6.3087823705e+01
9.8265845736e-06 6.7257158590e+01
1.0503986232e-05 7.1702032168e+01
1.1228084077e-05 7.6440636710e+01
1.2002097719e-05 8.1492383373e+01
1.2829469597e-05 8.6877971020e+01
1.3713875887e-05 9.2619441940e+01
1.4659249246e-05 9.8740313417e+01
1.5669793356e-05 1.0526565445e+02
1.6749998394e-05 1.1222216714e+02
1.7904669221e-05 1.1963834847e+02
1.9138937205e-05 1.2754454479e+02
2.0458292056e-05 1.3597313300e+02
2.1868594558e-05 1.4495857734e+02
2.3376118406e-05 1.5453766980e+02
2.4987564757e-05 1.6474959385e+02
2.6710096790e-05 1.7563611326e+02
2.8551370633e-05 1.8724173469e+02
3.0519575375e-05 1.9961392438e+02
3.2623458537e-05 2.1280322978e+02
3.4872377000e-05 2.2686355761e+02
3.7276324292e-05 2.4185229944e+02
3.9845985157e-05 2.5783062368e+02
4.2592790123e-05 2.7486376182e+02
4.5528948249e-05 2.9302115373e+02
4.8667512601e-05 3.1237679075e+02
5.2022434829e-05 3.3300948414e+02
5.5608630646e-05 3.5500319387e+02
5.9442041675e-05 3.7844732728e+02
6.3539715484e-05 4.0343714076e+02
6.7919856519e-05 4.3007395496e+02
7.2601949796e-05 4.5846580366e+02
7.7606804552e-05 4.8872758498e+02
8.2956677943e-05 5.2098168826e+02
8.8675340521e-05 5.5535825736e+02
9.4788221759e-05 5.9199592510e+02
1.0132250463e-04 6.3104222808e+02
1.0830722749e-04 6.7265405531e+02
1.1577344412e-04 7.1699843260e+02
1.2375434744e-04 7.6425307736e+02
1.3228542230e-04 8.1460711546e+02
1.4140459825e-04 8.6826178686e+02
1.5115240239e-04 9.2543114059e+02
1.6157217033e-04 9.8634306017e+02
1.7271023535e-04 1.0512401457e+03
1.8461611762e-04 1.1203805823e+03
1.9734272791e-04 1.1940390767e+03
2.1094665863e-04 1.2725082783e+03
2.2548838751e-04 1.3560996665e+03
2.4103255419e-04 1.4451448273e+03
2.5764826569e-04 1.5399968575e+03
2.7540940209e-04 1.6410317196e+03
2.9439490754e-04 1.7486494609e+03
3.1468918314e-04 1.8632759467e+03
3.3638245077e-04 1.9853643521e+03
3.5957116052e-04 2.1153968137e+03
3.8435839815e-04 2.2538859829e+03
4.1085435078e-04 2.4013767923e+03
4.3917683070e-04 2.5584484125e+03
4.6945171198e-04 2.7257155716e+03
5.0181365805e-04 2.9038313053e+03
5.3640641272e-04 3.0934870870e+03
5.7338393526e-04 3.2954173469e+03
6.1291042948e-04 3.5103976232e+03
6.5516179893e-04 3.7392501475e+03
7.0032570511e-04 3.9828413751e+03
7.4860308086e-04 4.2420868790e+03
8.0020842142e-04 4.5179489749e+03
8.5537123960e-04 4.8114398110e+03
9.1433670605e-04 5.1236190912e+03
9.7736704629e-04 5.4555946177e+03
1.0447424138e-03 5.8085185492e+03
1.1167622870e-03 6.1835845927e+03
1.1937469244e-03 6.5820232286e+03
1.2760384707e-03 7.0050924022e+03
1.3640029356e-03 7.4540694749e+03
1.4580312418e-03 7.9302345429e+03
1.5585414367e-03 8.4348553043e+03
1.6659803223e-03 8.9691639703e+03
1.7808256671e-03 9.5343317385e+03
1.9035878358e-03 1.0131434868e+04
2.0348127000e-03 1.0761421758e+04
2.1750836167e-03 1.1425070846e+04
2.3250242230e-03 1.2122949228e+04
2.4853011128e-03 1.2855369381e+04
2.6566267479e-03 1.3622348160e+04
2.8397627175e-03 1.4423571238e+04
3.0355232302e-03 1.5258364953e+04
3.2447788399e-03 1.6125677359e+04
3.4684594721e-03 1.7024065490e+04
3.7075595465e-03 1.7951699582e+04
3.9631421678e-03 1.8906369055e+04
4.2363437824e-03 1.9885492754e+04
4.5283786021e-03 2.0886126759e+04
4.8405448906e-03 2.1904973035e+04
5.1742303185e-03 2.2938375476e+04
5.5309189484e-03 2.3982310045e+04
5.9121958911e-03 2.5032356132e+04
6.3197561540e-03 2.6083668801e+04
6.7554120906e-03 2.7130934920e+04
7.2211003862e-03 2.8168317695e+04
7.7188909054e-03 2.9189394931e+04
8.2509964705e-03 3.0187086249e+04
8.8197840378e-03 3.1153567170e+04
9.4277802855e-03 3.2080156443e+04
1.0077689774e-02 3.2957205820e+04
1.0772400536e-02 3.3773953037e+04
